Month,SICOM_PRICE,PRICE_PERCENTAGE,EXPORT_VOLUME,NFTA_PRICE,NFTA_ADJ_SICOM,SICOM_ADJ_EXPOVOL,IDN_USD,IDN_USD_ADJ
Jan  2006,1.88,1190.00%,211517824,621,1.035,210560000,9370,187400000
Feb  2006,2.06,957.00%,236499856,605,1.0083333333,230720000,9182.5,183650000
Mar  2006,2.07,49.00%,229651712,560,0.9333333333,231840000,9087,181740000
Apr  2006,2.14,338.00%,237565344,612,1.02,239680000,8785,175700000
May  2006,2.45,1449.00%,229750576,598,0.9966666667,274400000,9255,185100000
Jun  2006,2.7,1020.00%,239921376,597,0.995,302400000,9263,185260000
Jul  2006,2.48,-815.00%,255440448,633,1.055,277760000,9095,181900000
Aug  2006,2.18,-1210.00%,257538144,626,1.0433333333,244160000,9117,182340000
Sep  2006,1.81,-1697.00%,200860544,756,1.26,202720000,9205,184100000
Oct  2006,1.82,55.00%,272239808,903,1.505,203840000,9094,181880000
Nov  2006,1.62,-1099.00%,192041952,1092,1.82,181440000,9165,183300000
Dec  2006,1.73,679.00%,194315360,1243,2.0716666667,193760000,8993.5,179870000
Jan  2007,2.08,2023.00%,234656720,1169,1.9483333333,232960000,9100,182000000
Feb  2007,2.28,962.00%,222247520,1100,1.8333333333,255360000,9131.5,182630000
Mar  2007,2.23,-219.00%,238271456,1068,1.78,249760000,9120,182400000
Apr  2007,2.32,404.00%,240455920,1260,2.1,259840000,9088,181760000
May  2007,2.37,216.00%,258842912,1295,2.1583333333,265440000,8827,176540000
Jun  2007,2.23,-591.00%,241711552,1073,1.7883333333,249760000,9035,180700000
Jul  2007,2.08,-673.00%,256141792,1307,2.1783333333,232960000,9225,184500000
Aug  2007,2.11,144.00%,252469952,1268,2.1133333333,236320000,9390,187800000
Sep  2007,2.16,237.00%,223461888,1192,1.9866666667,241920000,9145,182900000
Oct  2007,2.33,787.00%,238087472,1295,2.1583333333,260960000,9097.5,181950000
Nov  2007,2.48,644.00%,251820800,1131,1.885,277760000,9370,187400000
Dec  2007,2.48,0.00%,262405392,1036,1.7266666667,277760000,9392.5,187850000
Jan  2008,2.62,565.00%,222107952,749,1.2483333333,293440000,9246.5,184930000
Feb  2008,2.79,649.00%,267703120,865,1.4416666667,312480000,9065,181300000
Mar  2008,2.79,0.00%,246296480,838,1.3966666667,312480000,9215,184300000
Apr  2008,2.84,179.00%,241246080,887,1.4783333333,318080000,9222,184440000
May  2008,3.05,739.00%,252462896,845,1.4083333333,341600000,9315,186300000
Jun  2008,3.22,557.00%,241693264,647,1.0783333333,360640000,9220,184400000
Jul  2008,3.2,-62.00%,252944000,640,1.0666666667,358400000,9095,181900000
Aug  2008,2.93,-844.00%,237881408,612,1.02,328160000,9150,183000000
Sep  2008,2.83,-341.00%,254959760,500,0.8333333333,316960000,9415,188300000
Oct  2008,1.92,-3216.00%,202890144,349,0.5816666667,215040000,10900,218000000
Nov  2008,1.65,-1406.00%,178560256,277,0.4616666667,184800000,12025,240500000
Dec  2008,1.2,-2727.00%,164213472,212,0.3533333333,134400000,10900,218000000
Jan  2009,1.49,2417.00%,148319552,568,0.9466666667,166880000,11380,227600000
Feb  2009,1.46,-201.00%,168616352,604,1.0066666667,163520000,11980,239600000
Mar  2009,1.43,-205.00%,217756864,624,1.04,160160000,11555,231100000
Apr  2009,1.62,1329.00%,210139408,650,1.0833333333,181440000,10585,211700000
May  2009,1.69,432.00%,228826784,890,1.4833333333,189280000,10290,205800000
Jun  2009,1.67,-118.00%,217039872,1084,1.8066666667,187040000,10207.5,204150000
Jul  2009,1.75,479.00%,252694384,1018,1.6966666667,196000000,9925,198500000
Aug  2009,2.06,1771.00%,224216880,876,1.46,230720000,10080,201600000
Sep  2009,2.17,534.00%,203472560,933,1.555,243040000,9645,192900000
Oct  2009,2.35,829.00%,238090464,1118,1.8633333333,263200000,9550,191000000
Nov  2009,2.54,809.00%,195203184,1149,1.915,284480000,9455,189100000
Dec  2009,2.8,1024.00%,222162624,1182,1.97,313600000,9425,188500000
Jan  2010,3.09,1036.00%,184438688,1464,2.44,346080000,9350,187000000
Feb  2010,3.13,129.00%,219788608,1392,2.32,350560000,9337,186740000
Mar  2010,3.34,671.00%,257332416,1328,2.2133333333,374080000,9090,181800000
Apr  2010,3.95,1826.00%,245887248,1332,2.22,442400000,9012.5,180250000
May  2010,3.67,-709.00%,247361920,1131,1.885,411040000,9175,183500000
Jun  2010,3.57,-272.00%,255633648,1216,2.0266666667,399840000,9060,181200000
Jul  2010,3.27,-840.00%,269713184,1205,2.0083333333,366240000,8940,178800000
Aug  2010,3.32,153.00%,249309680,1162,1.9366666667,371840000,9035,180700000
Sep  2010,3.53,633.00%,229366112,1433,2.3883333333,395360000,8925,178500000
Oct  2010,3.92,1105.00%,273506272,1643,2.7383333333,439040000,8937.5,178750000
Nov  2010,4.31,995.00%,247754480,1433,2.3883333333,482720000,9034,180680000
Dec  2010,4.75,1021.00%,247521808,1398,2.33,532000000,9010,180200000
Jan  2011,5.52,1621.00%,258608048,1245,2.075,618240000,9048,180960000
Feb  2011,6.26,1341.00%,245323088,1298,2.1633333333,701120000,8821.5,176430000
Mar  2011,5.42,-1342.00%,270436640,1241,2.0683333333,607040000,8707.5,174150000
Apr  2011,5.85,793.00%,290279808,1299,2.165,655200000,8564,171280000
May  2011,5.12,-1248.00%,280611104,1151,1.9183333333,573440000,8535.5,170710000
Jun  2011,4.93,-371.00%,264888080,1090,1.8166666667,552160000,8576.5,171530000
Jul  2011,4.73,-406.00%,292745344,1063,1.7716666667,529760000,8500,170000000
Aug  2011,4.68,-106.00%,266069680,923,1.5383333333,524160000,8533,170660000
Sep  2011,4.55,-278.00%,252139920,892,1.4866666667,509600000,8790,175800000
Oct  2011,4.06,-1077.00%,287331680,1093,1.8216666667,454720000,8852.5,177050000
Nov  2011,3.37,-1700.00%,227027872,1121,1.8683333333,377440000,9110,182200000
Dec  2011,3.38,30.00%,226721280,1035,1.725,378560000,9067.5,181350000
Jan  2012,3.63,740.00%,220543872,1234,2.0566666667,406560000,8990,179800000
Feb  2012,4,1019.00%,233886656,1252,2.0866666667,448000000,9020,180400000
Mar  2012,3.93,-175.00%,257909568,1311,2.185,440160000,9144,182880000
Apr  2012,3.84,-229.00%,252820320,1398,2.33,430080000,9190.5,183810000
May  2012,3.73,-286.00%,293717824,1248,2.08,417760000,9400,188000000
Jun  2012,3.2,-1421.00%,293061024,1202,2.0033333333,358400000,9392.5,187850000
Jul  2012,3.08,-375.00%,270175200,1231,2.0516666667,344960000,9445,188900000
Aug  2012,2.79,-942.00%,254311680,1284,2.14,312480000,9535,190700000
Sep  2012,3.04,896.00%,256173664,1402,2.3366666667,340480000,9570,191400000
Oct  2012,3.2,526.00%,254548000,1492,2.4866666667,358400000,9605,192100000
Nov  2012,2.97,-719.00%,252152160,1551,2.585,332640000,9593.5,191870000
Dec  2012,3.11,471.00%,238779088,1619,2.6983333333,348320000,9637.5,192750000
