Month,Export_Volume
2006-M01,211517824
2006-M02,236499856
2006-M03,229651712
2006-M04,237565344
2006-M05,229750576
2006-M06,239921376
2006-M07,255440448
2006-M08,257538144
2006-M09,200860544
2006-M10,272239808
2006-M11,192041952
2006-M12,194315360
2007-M01,234656720
2007-M02,222247520
2007-M03,238271456
2007-M04,240455920
2007-M05,258842912
2007-M06,241711552
2007-M07,256141792
2007-M08,252469952
2007-M09,223461888
2007-M10,238087472
2007-M11,251820800
2007-M12,262405392
2008-M01,222107952
2008-M02,267703120
2008-M03,246296480
2008-M04,241246080
2008-M05,252462896
2008-M06,241693264
2008-M07,252944000
2008-M08,237881408
2008-M09,254959760
2008-M10,202890144
2008-M11,178560256
2008-M12,164213472
2009-M01,148319552
2009-M02,168616352
2009-M03,217756864
2009-M04,210139408
2009-M05,228826784
2009-M06,217039872
2009-M07,252694384
2009-M08,224216880
2009-M09,203472560
2009-M10,238090464
2009-M11,195203184
2009-M12,222162624
2010-M01,184438688
2010-M02,219788608
2010-M03,257332416
2010-M04,245887248
2010-M05,247361920
2010-M06,255633648
2010-M07,269713184
2010-M08,249309680
2010-M09,229366112
2010-M10,273506272
2010-M11,247754480
2010-M12,247521808
2011-M01,258608048
2011-M02,245323088
2011-M03,270436640
2011-M04,290279808
2011-M05,280611104
2011-M06,264888080
2011-M07,292745344
2011-M08,266069680
2011-M09,252139920
2011-M10,287331680
2011-M11,227027872
2011-M12,226721280
2012-M01,220543872
2012-M02,233886656
2012-M03,257909568
2012-M04,252820320
2012-M05,293717824
2012-M06,293061024
2012-M07,270175200
2012-M08,254311680
2012-M09,256173664
2012-M10,254548000
2012-M11,252152160
2012-M12,238779088
2013-M01,246198064
2013-M02,257517184
2013-M03,283101600
2013-M04,278880448
2013-M05,295725344
2013-M06,270456768
2013-M07,322455008
2013-M08,251653296
2013-M09,284887136
2013-M10,308099200
2013-M11,284577280
2013-M12,287989088
2014-M01,276402240
2014-M02,286104512
2014-M03,292253408
2014-M04,302254656
2014-M05,282399712
2014-M06,270350784
2014-M07,251922032
2014-M08,271347680
2014-M09,292304928
2014-M10,274818528
2014-M11,234810816
2014-M12,261347216
2015-M01,239863072
2015-M02,244840672
2015-M03,269896416
2015-M04,310945280
2015-M05,274045731
2015-M06,308348539
2015-M07,262351318
2015-M08,313285278
2015-M09,288319079
2015-M10,278693509
2015-M11,248163260
2015-M12,271638333
2016-M01,239309232
2016-M02,266749483
2016-M03,265664579
2016-M04,282913398
2016-M05,264125662
2016-M06,289600012
2016-M07,227251052
2016-M08,295013101
2016-M09,302590335
2016-M10,297775892
2016-M11,278471884
2016-M12,307758831
2017-M01,315440490
2017-M02,308013915
2017-M03,365378443
2017-M04,336447051
2017-M05,349210210
2017-M06,259663221
2017-M07,342478369
2017-M08,357223828
2017-M09,344582113
2017-M10,343833759
2017-M11,324972898
2017-M12,291195542
2018-M01,295802200
2018-M02,294655789
2018-M03,315322457
2018-M04,341434623
2018-M05,331055881
2018-M06,232634397
2018-M07,349883154
2018-M08,325217881
2018-M09,311725340
2018-M10,286331265
2018-M11,276362845
2018-M12,258909764
