Date,SMR CV,SMR L,SMR 5,SMR GP,SMR 10,SMR 20 US
01/02/18,189.85,185.70,149.60,148.85,147.05,146.55
01/03/18,190.30,186.35,148.60,147.85,146.05,145.55
01/04/18,190.85,186.65,147.55,146.80,145.05,144.50
01/05/18,192.20,187.75,148.70,147.90,146.15,145.60
01/08/18,192.55,188.10,149.05,148.30,146.50,146.00
01/09/18,192.30,187.45,150.50,149.70,147.95,147.45
01/10/18,192.05,187.00,152.25,151.50,149.70,149.20
01/11/18,192.25,187.30,153.05,152.25,150.50,150.00
01/12/18,194.05,189.30,155.40,154.65,152.85,152.35
01/15/18,195.80,191.40,158.00,157.25,155.45,154.95
01/16/18,196.60,192.60,158.15,157.35,155.55,155.05
01/17/18,197.30,193.55,157.20,156.45,154.65,154.10
01/18/18,197.15,192.95,157.65,156.85,155.05,154.55
01/19/18,198.35,193.95,156.75,156.00,154.20,153.65
01/22/18,198.35,193.95,158.20,157.40,155.60,155.10
01/23/18,198.75,193.70,155.90,155.10,153.30,152.75
01/24/18,198.95,193.75,154.95,154.15,152.35,151.80
01/25/18,199.50,194.30,155.90,155.15,153.30,152.80
01/26/18,199.90,194.55,157.80,157.05,155.20,154.70
01/29/18,200.80,195.80,156.05,155.25,153.40,152.90
01/30/18,199.25,194.40,155.15,154.35,152.55,152.00
02/02/18,198.70,194.50,152.85,152.10,150.25,149.70
02/05/18,197.35,193.95,152.95,152.20,150.35,149.85
02/06/18,196.50,192.75,150.55,149.80,147.95,147.45
02/07/18,196.90,192.85,149.45,148.65,146.85,146.30
02/08/18,195.60,191.20,146.95,146.15,144.35,143.80
02/09/18,194.55,189.90,146.85,146.05,144.25,143.75
02/12/18,195.15,190.20,149.35,148.55,146.75,146.20
02/13/18,195.25,190.10,147.15,146.35,144.55,144.00
02/14/18,194.80,189.90,147.85,147.10,145.30,144.75
02/15/18,196.85,191.90,147.95,147.20,145.35,144.85
02/19/18,196.60,191.90,147.85,147.05,145.25,144.70
02/20/18,196.25,191.70,147.05,146.25,144.40,143.90
02/21/18,195.20,190.90,149.15,148.35,146.55,146.05
02/22/18,195.55,190.85,148.30,147.55,145.70,145.20
02/23/18,195.55,190.45,150.00,149.25,147.40,146.90
02/26/18,191.70,186.25,152.80,152.00,150.20,149.65
02/27/18,191.65,183.80,152.15,151.40,149.55,149.05
02/28/18,188.80,180.00,153.20,152.45,150.60,150.10
03/01/18,189.10,179.80,152.10,151.30,149.50,149.00
03/02/18,189.35,179.50,151.90,151.10,149.30,148.75
03/05/18,190.30,180.25,154.15,153.35,151.55,151.00
03/06/18,190.05,180.15,151.70,150.95,149.10,148.60
03/07/18,189.45,179.00,151.50,150.70,148.90,148.35
03/08/18,189.05,177.70,151.65,150.85,149.05,148.50
03/09/18,186.75,175.85,148.45,147.65,145.85,145.30
03/12/18,187.75,175.00,150.80,150.00,148.20,147.65
03/13/18,188.15,173.45,149.50,148.70,146.90,146.35
03/14/18,188.55,172.50,150.30,149.55,147.70,147.20
03/15/18,187.55,170.45,151.60,150.85,149.00,148.50
03/16/18,186.80,168.80,149.40,148.65,146.85,146.30
03/19/18,189.45,168.80,147.70,146.90,145.10,144.55
03/20/18,189.95,168.00,146.35,145.55,143.75,143.20
03/21/18,189.50,166.85,147.30,146.50,144.70,144.15
03/22/18,189.55,167.20,146.65,145.85,144.05,143.50
03/23/18,187.05,164.45,139.30,138.50,136.70,136.15
03/26/18,185.20,161.70,135.85,135.10,133.25,132.75
03/27/18,186.55,161.55,138.50,137.75,135.90,135.40
03/28/18,187.70,161.60,141.20,140.40,138.55,138.05
03/29/18,187.20,161.30,141.60,140.80,138.95,138.45
04/02/18,189.30,164.05,140.70,139.90,138.10,137.55
04/03/18,189.50,164.40,140.30,139.55,137.70,137.15
04/04/18,189.35,164.00,139.80,139.00,137.15,136.65
04/05/18,189.15,163.50,138.40,137.60,135.80,135.25
04/06/18,189.15,163.00,138.45,137.65,135.80,135.30
04/09/18,189.45,163.95,139.35,138.55,136.70,136.20
04/10/18,189.45,163.80,141.85,141.05,139.20,138.70
04/11/18,189.35,163.45,141.75,141.00,139.15,138.60
04/12/18,188.95,163.40,142.50,141.75,139.90,139.35
04/13/18,188.95,163.80,143.00,142.20,140.40,139.85
04/16/18,188.95,164.15,140.20,139.40,137.60,137.05
04/17/18,188.05,163.70,140.40,139.60,137.80,137.25
04/18/18,187.70,163.30,140.15,139.40,137.55,137.05
04/19/18,188.20,164.65,142.30,141.55,139.70,139.20
04/20/18,188.50,166.45,145.70,144.90,143.10,142.55
04/23/18,187.85,165.20,143.55,142.75,140.95,140.40
04/24/18,186.25,164.10,142.50,141.70,139.90,139.35
04/25/18,185.15,162.95,142.40,141.60,139.80,139.25
04/26/18,184.95,161.20,142.80,142.00,140.20,139.70
04/27/18,184.60,160.90,141.95,141.20,139.40,138.85
04/30/18,185.70,161.95,144.30,143.50,141.70,141.20
05/02/18,185.65,162.75,143.75,142.95,141.15,140.60
05/03/18,184.85,162.55,145.50,144.75,142.95,142.40
05/04/18,185.80,164.00,146.95,146.20,144.35,143.85
05/07/18,186.80,165.75,147.95,147.20,145.40,144.85
05/08/18,185.80,165.60,146.90,146.15,144.35,143.85
05/14/18,184.95,165.80,146.05,145.30,143.50,143.00
05/15/18,183.95,165.70,142.45,141.70,139.90,139.40
05/16/18,182.80,164.75,143.85,143.10,141.30,140.75
05/17/18,182.45,164.65,144.05,143.30,141.50,140.95
05/18/18,183.35,165.95,146.20,145.45,143.65,143.15
05/21/18,184.00,167.15,152.05,151.30,149.50,149.00
05/22/18,183.70,166.85,151.60,150.85,149.05,148.55
05/23/18,183.35,166.35,150.00,149.25,147.45,146.95
05/24/18,182.95,165.75,148.25,147.50,145.70,145.20
05/25/18,183.10,165.60,148.35,147.60,145.80,145.30
05/28/18,182.85,165.15,147.65,146.90,145.10,144.60
05/30/18,182.55,165.40,146.95,146.20,144.40,143.90
05/31/18,183.10,166.15,145.25,144.50,142.70,142.20
06/01/18,182.65,166.05,145.55,144.75,143.00,142.45
06/04/18,182.95,166.60,147.95,147.15,145.40,144.85
06/05/18,183.45,167.10,145.75,145.00,143.20,142.65
06/06/18,183.50,167.40,145.80,145.00,143.20,142.70
06/07/18,183.50,167.40,145.90,145.15,143.35,142.85
06/08/18,183.40,167.80,144.95,144.20,142.40,141.90
06/11/18,183.25,167.95,144.50,143.70,141.95,141.40
06/12/18,182.90,167.90,144.50,143.70,141.95,141.40
06/13/18,181.85,167.20,141.15,140.40,138.60,138.10
06/14/18,181.40,167.05,140.20,139.45,137.70,137.15
06/18/18,180.90,166.80,139.85,139.10,137.30,136.80
06/19/18,180.80,166.95,136.20,135.45,133.65,133.15
06/20/18,180.80,167.20,137.75,137.00,135.20,134.70
06/21/18,181.05,167.45,136.90,136.15,134.40,133.85
06/22/18,181.45,168.15,138.10,137.35,135.60,135.05
06/25/18,181.80,168.75,138.85,138.10,136.30,135.80
06/26/18,180.80,168.20,138.25,137.50,135.75,135.25
06/27/18,180.85,168.60,138.30,137.55,135.80,135.30
06/28/18,180.80,168.95,141.95,141.20,139.45,138.90
06/29/18,180.50,169.20,139.05,138.30,136.55,136.05
07/02/18,180.60,169.00,137.45,136.65,134.90,134.40
07/03/18,179.50,168.20,135.60,134.85,133.10,132.60
07/04/18,179.40,168.00,135.25,134.50,132.75,132.25
07/05/18,179.10,167.90,132.40,131.65,129.90,129.40
07/06/18,179.05,167.90,132.95,132.20,130.45,129.95
07/09/18,180.10,168.40,135.85,135.10,133.35,132.85
07/10/18,181.10,169.75,135.05,134.30,132.50,132.00
07/11/18,180.65,169.55,134.80,134.05,132.30,131.75
07/12/18,179.60,168.65,133.65,132.90,131.15,130.65
07/13/18,180.30,169.15,134.10,133.30,131.55,131.05
07/16/18,180.35,169.30,135.15,134.40,132.65,132.15
07/17/18,180.75,169.70,136.65,135.90,134.15,133.65
07/18/18,179.95,169.05,137.10,136.35,134.60,134.10
07/19/18,179.75,169.00,136.95,136.20,134.45,133.95
07/20/18,179.60,168.60,136.90,136.15,134.40,133.90
07/23/18,179.30,167.85,135.00,134.25,132.50,132.00
07/24/18,178.40,167.05,135.45,134.70,132.95,132.45
07/25/18,179.10,167.85,136.20,135.45,133.70,133.20
07/26/18,179.95,168.65,136.85,136.10,134.35,133.85
07/27/18,179.15,167.80,135.10,134.35,132.60,132.10
07/30/18,179.10,167.85,135.45,134.70,132.95,132.45
07/31/18,178.70,167.70,134.65,133.90,132.15,131.65
08/01/18,178.25,167.50,134.90,134.15,132.40,131.90
08/02/18,178.00,167.55,135.10,134.35,132.60,132.10
08/03/18,177.95,167.35,134.65,133.90,132.15,131.65
08/06/18,178.35,167.75,136.35,135.60,133.85,133.35
08/07/18,178.50,167.90,137.30,136.55,134.85,134.35
08/08/18,178.40,168.05,138.55,137.80,136.05,135.55
08/09/18,177.85,167.75,138.00,137.25,135.50,135.00
08/10/18,177.80,167.60,138.75,138.00,136.25,135.75
08/13/18,177.30,167.25,137.85,137.10,135.40,134.90
08/14/18,177.30,167.35,138.10,137.35,135.65,135.15
08/15/18,177.45,167.30,138.40,137.65,135.95,135.45
08/16/18,175.90,166.25,137.05,136.30,134.60,134.10
08/17/18,175.75,166.20,136.90,136.15,134.45,133.95
08/20/18,176.35,166.95,138.25,137.50,135.75,135.25
08/21/18,176.65,167.35,138.25,137.50,135.75,135.25
08/23/18,176.85,167.80,140.60,139.85,138.10,137.60
08/24/18,176.25,167.35,140.30,139.60,137.85,137.35
08/27/18,176.15,167.60,138.85,138.10,136.35,135.90
08/28/18,175.90,167.85,138.85,138.10,136.35,135.90
08/29/18,175.70,167.55,137.85,137.10,135.35,134.85
08/30/18,176.15,168.10,137.85,137.10,135.40,134.90
09/03/18,175.70,168.05,134.90,134.20,132.45,131.95
09/04/18,174.95,167.20,135.30,134.55,132.85,132.35
09/05/18,174.75,166.80,135.30,134.55,132.85,132.35
09/06/18,174.70,166.75,135.50,134.75,133.05,132.55
09/07/18,174.50,166.15,135.30,134.60,132.85,132.40
09/12/18,174.55,165.90,136.55,135.80,134.10,133.60
09/13/18,175.35,166.40,136.85,136.15,134.40,133.90
09/14/18,175.45,166.40,136.85,136.10,134.40,133.90
09/18/18,175.05,165.90,135.40,134.65,132.95,132.45
09/19/18,174.90,165.60,135.85,135.10,133.40,132.90
09/20/18,175.10,165.95,138.95,138.25,136.50,136.05
09/21/18,175.05,166.10,137.10,136.35,134.65,134.15
09/24/18,174.95,165.70,136.90,136.15,134.40,133.95
09/25/18,174.50,165.30,136.70,135.95,134.25,133.75
09/26/18,173.90,164.70,137.70,136.95,135.25,134.75
09/27/18,173.40,163.95,137.75,137.00,135.30,134.80
09/28/18,172.80,163.10,136.40,135.70,133.95,133.50
09/03/18,175.70,168.05,134.90,134.20,132.45,131.95
09/04/18,174.95,167.20,135.30,134.55,132.85,132.35
09/05/18,174.75,166.80,135.30,134.55,132.85,132.35
09/06/18,174.70,166.75,135.50,134.75,133.05,132.55
09/07/18,174.50,166.15,135.30,134.60,132.85,132.40
09/12/18,174.55,165.90,136.55,135.80,134.10,133.60
09/13/18,175.35,166.40,136.85,136.15,134.40,133.90
09/14/18,175.45,166.40,136.85,136.10,134.40,133.90
09/18/18,175.05,165.90,135.40,134.65,132.95,132.45
09/19/18,174.90,165.60,135.85,135.10,133.40,132.90
09/20/18,175.10,165.95,138.95,138.25,136.50,136.05
09/21/18,175.05,166.10,137.10,136.35,134.65,134.15
09/24/18,174.95,165.70,136.90,136.15,134.40,133.95
09/25/18,174.50,165.30,136.70,135.95,134.25,133.75
09/26/18,173.90,164.70,137.70,136.95,135.25,134.75
09/27/18,173.40,163.95,137.75,137.00,135.30,134.80
09/28/18,172.80,163.10,136.40,135.70,133.95,133.50
10/01/18,172.50,162.45,137.55,136.80,135.10,134.60
10/02/18,172.85,162.80,138.25,137.55,135.80,135.35
10/03/18,172.45,162.15,137.15,136.45,134.70,134.20
10/04/18,171.85,161.70,136.95,136.25,134.50,134.05
10/05/18,171.80,161.50,136.80,136.05,134.35,133.85
10/08/18,171.80,161.30,136.70,135.95,134.25,133.75
10/09/18,171.90,161.30,138.70,137.95,136.25,135.80
10/10/18,172.35,162.00,138.15,137.40,135.70,135.20
10/11/18,171.90,161.55,136.00,135.30,133.60,133.10
10/12/18,171.90,161.35,136.20,135.45,133.75,133.25
10/15/18,171.25,160.65,136.35,135.60,133.90,133.40
10/16/18,171.25,160.50,136.35,135.60,133.90,133.40
10/17/18,171.75,161.20,136.50,135.80,134.05,133.60
10/18/18,171.60,161.35,135.45,134.70,133.00,132.50
10/19/18,171.20,161.10,135.00,134.25,132.55,132.05
10/22/18,171.40,161.55,135.90,135.15,133.45,132.95
10/23/18,171.40,161.75,136.85,136.15,134.40,133.95
10/24/18,171.05,161.55,135.60,134.85,133.15,132.65
10/25/18,170.70,161.05,134.40,133.65,131.95,131.50
10/26/18,170.70,161.05,135.40,134.65,132.95,132.50
10/29/18,169.60,160.20,130.65,129.95,128.20,127.75
10/30/18,168.50,158.70,128.60,127.85,126.15,125.65
10/31/18,167.85,157.40,127.65,126.95,125.25,124.75
11/01/18,167.45,157.15,128.65,127.95,126.25,125.75
11/02/18,167.90,157.45,128.90,128.15,126.45,125.95
11/05/18,167.95,157.60,127.30,126.55,124.85,124.35
11/07/18,168.10,158.00,128.40,127.70,125.95,125.50
11/08/18,168.00,157.75,127.60,126.85,125.15,124.65
11/09/18,167.50,157.05,128.10,127.35,125.65,125.20
11/12/18,167.10,156.55,125.75,125.00,123.30,122.80
11/13/18,166.00,155.75,126.80,126.10,124.40,123.90
11/14/18,165.50,155.55,126.80,126.10,124.40,123.90
11/15/18,164.90,154.95,126.90,126.15,124.45,123.95
11/16/18,164.50,154.40,126.55,125.80,124.10,123.65
11/19/18,163.85,153.30,125.50,124.80,123.10,122.60
11/21/18,163.20,152.20,123.15,122.45,120.75,120.25
11/22/18,162.75,151.75,124.90,124.15,122.45,121.95
11/23/18,162.50,151.65,124.65,123.95,122.25,121.75
11/26/18,162.45,151.65,125.55,124.80,123.15,122.65
11/27/18,162.35,151.70,125.65,124.95,123.25,122.75
11/28/18,161.45,150.95,125.25,124.55,122.85,122.35
11/29/18,161.20,150.55,125.75,125.05,123.35,122.85
11/30/18,160.95,150.50,126.50,125.80,124.10,123.60
12/03/18,161.75,151.10,128.50,127.75,126.05,125.60
12/04/18,162.10,151.40,127.25,126.50,124.80,124.35
12/05/18,162.15,151.05,126.50,125.75,124.05,123.55
12/06/18,161.55,150.55,127.85,127.10,125.40,124.90
12/07/18,160.95,149.95,128.15,127.40,125.70,125.20
12/10/18,160.40,149.55,126.55,125.80,124.10,123.65
12/11/18,159.30,148.60,126.25,125.50,123.80,123.35
12/12/18,159.65,148.75,127.25,126.55,124.85,124.35
12/13/18,160.65,149.85,129.50,128.75,127.05,126.60
12/14/18,160.00,149.35,127.75,127.00,125.30,124.80
12/17/18,160.70,150.20,129.80,129.10,127.40,126.90
12/18/18,160.90,150.60,130.70,129.95,128.25,127.75
12/19/18,160.85,150.40,129.65,128.90,127.20,126.75
12/20/18,160.90,150.70,130.95,130.20,128.50,128.05
12/21/18,161.35,151.40,131.10,130.40,128.70,128.20
12/24/18,160.90,151.10,130.60,129.85,128.15,127.65
12/26/18,160.20,150.25,128.15,127.45,125.75,125.25
12/27/18,161.00,151.05,130.60,129.90,128.20,127.70
12/28/18,161.95,151.80,131.60,130.85,129.15,128.65
12/31/18,162.50,152.60,130.55,129.80,128.10,127.60
