month,year,value,parameter,value_std
Jan,2007,258.75,RSS3_PRICE_PREV,3.114626422
Feb,2007,265.5,RSS3_PRICE_PREV,3.1771551883
Mar,2007,282,RSS3_PRICE_PREV,3.3300032836
Apr,2007,281,RSS3_PRICE_PREV,3.3207397627
May,2007,289.75,RSS3_PRICE_PREV,3.4017955708
Jun,2007,306.75,RSS3_PRICE_PREV,3.5592754266
Jul,2007,327.5,RSS3_PRICE_PREV,3.7514934859
Aug,2007,316,RSS3_PRICE_PREV,3.6449629952
Sep,2007,299,RSS3_PRICE_PREV,3.4874831394
Oct,2007,248.5,RSS3_PRICE_PREV,3.0196753325
Nov,2007,183,RSS3_PRICE_PREV,2.4129147116
Dec,2007,134,RSS3_PRICE_PREV,1.959002186
Jan,2008,137.5,RSS3_PRICE_PREV,1.9914245093
Feb,2008,150,RSS3_PRICE_PREV,2.1072185209
Mar,2008,142,RSS3_PRICE_PREV,2.0331103535
Apr,2008,151.5,RSS3_PRICE_PREV,2.1211138023
May,2008,159.6,RSS3_PRICE_PREV,2.1961483218
Jun,2008,172,RSS3_PRICE_PREV,2.3110159814
Jul,2008,163,RSS3_PRICE_PREV,2.227644293
Aug,2008,192,RSS3_PRICE_PREV,2.4962863999
Sep,2008,211.5,RSS3_PRICE_PREV,2.6769250581
Oct,2008,214,RSS3_PRICE_PREV,2.7000838604
Nov,2008,244,RSS3_PRICE_PREV,2.9779894883
Dec,2008,271.5,RSS3_PRICE_PREV,3.2327363139
Jan,2009,288.5,RSS3_PRICE_PREV,3.3902161697
Feb,2009,303,RSS3_PRICE_PREV,3.5245372231
Mar,2009,333,RSS3_PRICE_PREV,3.802442851
Apr,2009,363.5,RSS3_PRICE_PREV,4.0849802394
May,2009,403.5,RSS3_PRICE_PREV,4.4555210766
Jun,2009,392,RSS3_PRICE_PREV,4.3489905859
Jul,2009,353.5,RSS3_PRICE_PREV,3.9923450301
Aug,2009,328.8,RSS3_PRICE_PREV,3.7635360631
Sep,2009,339,RSS3_PRICE_PREV,3.8580239766
Oct,2009,363,RSS3_PRICE_PREV,4.0803484789
Nov,2009,397,RSS3_PRICE_PREV,4.3953081905
Dec,2009,432,RSS3_PRICE_PREV,4.7195314231
Jan,2010,500,RSS3_PRICE_PREV,5.3494508463
Feb,2010,576,RSS3_PRICE_PREV,6.0534784369
Mar,2010,598.5,RSS3_PRICE_PREV,6.2619076579
Apr,2010,576,RSS3_PRICE_PREV,6.0534784369
May,2010,545,RSS3_PRICE_PREV,5.7663092881
Jun,2010,523.5,RSS3_PRICE_PREV,5.5671435881
Jul,2010,455.5,RSS3_PRICE_PREV,4.9372241649
Aug,2010,485.3,RSS3_PRICE_PREV,5.2132770886
Sep,2010,466,RSS3_PRICE_PREV,5.0344911347
Oct,2010,424,RSS3_PRICE_PREV,4.6454232556
Nov,2010,383.9,RSS3_PRICE_PREV,4.2739560664
Dec,2010,323.5,RSS3_PRICE_PREV,3.7144394022
Jan,2011,327.5,RSS3_PRICE_PREV,3.7514934859
Feb,2011,403,RSS3_PRICE_PREV,4.4508893161
Mar,2011,401,RSS3_PRICE_PREV,4.4323622742
Apr,2011,393,RSS3_PRICE_PREV,4.3582541068
May,2011,391,RSS3_PRICE_PREV,4.339727065
Jun,2011,355,RSS3_PRICE_PREV,4.0062403115
Jul,2011,314,RSS3_PRICE_PREV,3.6264359534
Aug,2011,295.5,RSS3_PRICE_PREV,3.4550608162
Sep,2011,272,RSS3_PRICE_PREV,3.2373680743
Oct,2011,328,RSS3_PRICE_PREV,3.7561252464
Nov,2011,301.5,RSS3_PRICE_PREV,3.5106419417
Dec,2011,297,RSS3_PRICE_PREV,3.4689560976
Jan,2012,324,RSS3_PRICE_PREV,3.7190711627
Feb,2012,326.2,RSS3_PRICE_PREV,3.7394509087
Mar,2012,303,RSS3_PRICE_PREV,3.5245372231
Apr,2012,294.3,RSS3_PRICE_PREV,3.4439445911
May,2012,297,RSS3_PRICE_PREV,3.4689560976
Jun,2012,297.8,RSS3_PRICE_PREV,3.4763669143
Jul,2012,269,RSS3_PRICE_PREV,3.2095775115
Aug,2012,242.2,RSS3_PRICE_PREV,2.9613151506
Sep,2012,259,RSS3_PRICE_PREV,3.1169423022
Oct,2012,253,RSS3_PRICE_PREV,3.0613611767
Nov,2012,251.5,RSS3_PRICE_PREV,3.0474658953
Dec,2012,252,RSS3_PRICE_PREV,3.0520976557
Jan,2013,248.5,RSS3_PRICE_PREV,3.0196753325
Feb,2013,217,RSS3_PRICE_PREV,2.7278744232
Mar,2013,218,RSS3_PRICE_PREV,2.7371379441
Apr,2013,235.8,RSS3_PRICE_PREV,2.9020286167
May,2013,216.5,RSS3_PRICE_PREV,2.7232426627
Jun,2013,205,RSS3_PRICE_PREV,2.616712172
Jul,2013,209,RSS3_PRICE_PREV,2.6537662558
Aug,2013,200.5,RSS3_PRICE_PREV,2.5750263279
Sep,2013,179,RSS3_PRICE_PREV,2.3758606279
Oct,2013,156,RSS3_PRICE_PREV,2.1627996465
Nov,2013,170,RSS3_PRICE_PREV,2.2924889395
Dec,2013,157,RSS3_PRICE_PREV,2.1720631674
Jan,2014,170,RSS3_PRICE_PREV,2.2924889395
Feb,2014,167.5,RSS3_PRICE_PREV,2.2693301372
Mar,2014,182,RSS3_PRICE_PREV,2.4036511907
Apr,2014,169.4,RSS3_PRICE_PREV,2.2869308269
May,2014,179,RSS3_PRICE_PREV,2.3758606279
Jun,2014,189.3,RSS3_PRICE_PREV,2.4712748934
Jul,2014,166,RSS3_PRICE_PREV,2.2554348558
Aug,2014,158,RSS3_PRICE_PREV,2.1813266883
Sep,2014,129.1,RSS3_PRICE_PREV,1.9136109335
Oct,2014,130.4,RSS3_PRICE_PREV,1.9256535107
Nov,2014,124,RSS3_PRICE_PREV,1.8663669767
Dec,2014,121.7,RSS3_PRICE_PREV,1.8450608786
Jan,2015,117.5,RSS3_PRICE_PREV,1.8061540907
Feb,2015,122.5,RSS3_PRICE_PREV,1.8524716953
Mar,2015,125.9,RSS3_PRICE_PREV,1.8839676665
Apr,2015,150.5,RSS3_PRICE_PREV,2.1118502814
May,2015,183,RSS3_PRICE_PREV,2.4129147116
Jun,2015,151.8,RSS3_PRICE_PREV,2.1238928586
Jul,2015,179,RSS3_PRICE_PREV,2.3758606279
Aug,2015,188,RSS3_PRICE_PREV,2.4592323162
Sep,2015,157,RSS3_PRICE_PREV,2.1720631674
Oct,2015,160,RSS3_PRICE_PREV,2.1998537302
Nov,2015,173.5,RSS3_PRICE_PREV,2.3249112627
Dec,2015,200,RSS3_PRICE_PREV,2.5703945674
Jan,2016,224.5,RSS3_PRICE_PREV,2.7973508302
Feb,2016,285,RSS3_PRICE_PREV,3.3577938464
Mar,2016,238,RSS3_PRICE_PREV,2.9224083627
Apr,2016,226.4,RSS3_PRICE_PREV,2.8149515199
May,2016,220.1,RSS3_PRICE_PREV,2.7565913381
Jun,2016,201,RSS3_PRICE_PREV,2.5796580883
Jul,2016,177.9,RSS3_PRICE_PREV,2.3656707548
Aug,2016,174.9,RSS3_PRICE_PREV,2.3378801921
Sep,2016,185,RSS3_PRICE_PREV,2.4314417534
Oct,2016,170.5,RSS3_PRICE_PREV,2.2971207
Nov,2016,149,RSS3_PRICE_PREV,2.097955
Dec,2016,157,RSS3_PRICE_PREV,2.1720631674
Jan,2017,160.6,RSS3_PRICE_PREV,2.2054118428
Feb,2017,170.4,RSS3_PRICE_PREV,2.2961943479
Mar,2017,190,RSS3_PRICE_PREV,2.4777593581
Apr,2017,168,RSS3_PRICE_PREV,2.2739618976
May,2017,169.4,RSS3_PRICE_PREV,2.2869308269
Jun,2017,162.9,RSS3_PRICE_PREV,2.2267179409
Jul,2017,148,RSS3_PRICE_PREV,2.088691479
Aug,2017,147.2,RSS3_PRICE_PREV,2.0812806623
Sep,2017,147,RSS3_PRICE_PREV,2.0794279581
Oct,2017,141.1,RSS3_PRICE_PREV,2.0247731846
Nov,2017,139,RSS3_PRICE_PREV,2.0053197907
Dec,2017,132.3,RSS3_PRICE_PREV,1.9432542004
Jan,2018,148.5,RSS3_PRICE_PREV,2.0933232395
Feb,2018,158.8,RSS3_PRICE_PREV,2.1887375051
Mar,2018,173,RSS3_PRICE_PREV,2.3202795023
Apr,2018,166.6,RSS3_PRICE_PREV,2.2609929683
May,2018,175,RSS3_PRICE_PREV,2.3388065441
Jun,2018,190.5,RSS3_PRICE_PREV,2.4823911186
Jul,2018,202.8,RSS3_PRICE_PREV,2.596332426
Aug,2018,160,RSS3_PRICE_PREV,2.1998537302
Sep,2018,149,RSS3_PRICE_PREV,2.097955
Oct,2018,148.2,RSS3_PRICE_PREV,2.0905441832
Nov,2018,150.8,RSS3_PRICE_PREV,2.1146293376
Dec,2018,160.5,RSS3_PRICE_PREV,2.2044854907
Jan,2007,238.75,RSS3_OPEN_PREV,2.9326646959
Feb,2007,260.25,RSS3_OPEN_PREV,3.1337547909
Mar,2007,267.5,RSS3_OPEN_PREV,3.2015642415
Apr,2007,286,RSS3_OPEN_PREV,3.3745952535
May,2007,280.75,RSS3_OPEN_PREV,3.3254918582
Jun,2007,290,RSS3_OPEN_PREV,3.4120073642
Jul,2007,302.25,RSS3_OPEN_PREV,3.5265819532
Aug,2007,328,RSS3_OPEN_PREV,3.7674224158
Sep,2007,309.5,RSS3_OPEN_PREV,3.5943914039
Oct,2007,295,RSS3_OPEN_PREV,3.4587725026
Nov,2007,241,RSS3_OPEN_PREV,2.9537090082
Dec,2007,191.5,RSS3_OPEN_PREV,2.4907341383
Jan,2008,131.7,RSS3_OPEN_PREV,1.9314230834
Feb,2008,143.5,RSS3_OPEN_PREV,2.0417888099
Mar,2008,147.5,RSS3_OPEN_PREV,2.0792009206
Apr,2008,138,RSS3_OPEN_PREV,1.9903471577
May,2008,150.5,RSS3_OPEN_PREV,2.1072600037
Jun,2008,166,RSS3_OPEN_PREV,2.2522319326
Jul,2008,175.1,RSS3_OPEN_PREV,2.3373444844
Aug,2008,163,RSS3_OPEN_PREV,2.2241728496
Sep,2008,200,RSS3_OPEN_PREV,2.5702348735
Oct,2008,223,RSS3_OPEN_PREV,2.78535451
Nov,2008,218,RSS3_OPEN_PREV,2.7385893717
Dec,2008,241.8,RSS3_OPEN_PREV,2.9611914303
Jan,2009,273,RSS3_OPEN_PREV,3.2530058937
Feb,2009,288,RSS3_OPEN_PREV,3.3933013089
Mar,2009,300,RSS3_OPEN_PREV,3.5055376409
Apr,2009,325,RSS3_OPEN_PREV,3.7393633328
May,2009,355,RSS3_OPEN_PREV,4.019954163
Jun,2009,340,RSS3_OPEN_PREV,3.8796587479
Jul,2009,375,RSS3_OPEN_PREV,4.2070147165
Aug,2009,339.5,RSS3_OPEN_PREV,3.8749822341
Sep,2009,320,RSS3_OPEN_PREV,3.6925981944
Oct,2009,340,RSS3_OPEN_PREV,3.8796587479
Nov,2009,368,RSS3_OPEN_PREV,4.1415435228
Dec,2009,402,RSS3_OPEN_PREV,4.4595464637
Jan,2010,450,RSS3_OPEN_PREV,4.9084917921
Feb,2010,502,RSS3_OPEN_PREV,5.3948492311
Mar,2010,577,RSS3_OPEN_PREV,6.0963263067
Apr,2010,604.5,RSS3_OPEN_PREV,6.3535345677
May,2010,579,RSS3_OPEN_PREV,6.115032362
Jun,2010,525,RSS3_OPEN_PREV,5.6099688676
Jul,2010,517,RSS3_OPEN_PREV,5.5351446462
Aug,2010,458.5,RSS3_OPEN_PREV,4.9879925273
Sep,2010,487.4,RSS3_OPEN_PREV,5.2582950271
Oct,2010,470.1,RSS3_OPEN_PREV,5.0964876483
Nov,2010,410.9,RSS3_OPEN_PREV,4.54278841
Dec,2010,380,RSS3_OPEN_PREV,4.2537798549
Jan,2011,343,RSS3_OPEN_PREV,3.9077178309
Feb,2011,330,RSS3_OPEN_PREV,3.7861284712
Mar,2011,400,RSS3_OPEN_PREV,4.4408404084
Apr,2011,403.5,RSS3_OPEN_PREV,4.4735760052
May,2011,389,RSS3_OPEN_PREV,4.3379571039
Jun,2011,392,RSS3_OPEN_PREV,4.366016187
Jul,2011,350.9,RSS3_OPEN_PREV,3.9816067496
Aug,2011,309,RSS3_OPEN_PREV,3.58971489
Sep,2011,303,RSS3_OPEN_PREV,3.533596724
Oct,2011,279,RSS3_OPEN_PREV,3.3091240598
Nov,2011,327,RSS3_OPEN_PREV,3.7580693881
Dec,2011,303,RSS3_OPEN_PREV,3.533596724
Jan,2012,299.2,RSS3_OPEN_PREV,3.4980552188
Feb,2012,334,RSS3_OPEN_PREV,3.8235405819
Mar,2012,331,RSS3_OPEN_PREV,3.7954814988
Apr,2012,301.5,RSS3_OPEN_PREV,3.5195671825
May,2012,289,RSS3_OPEN_PREV,3.4026543365
Jun,2012,288,RSS3_OPEN_PREV,3.3933013089
Jul,2012,276,RSS3_OPEN_PREV,3.2810649768
Aug,2012,267,RSS3_OPEN_PREV,3.1968877277
Sep,2012,245,RSS3_OPEN_PREV,2.9911211189
Oct,2012,265,RSS3_OPEN_PREV,3.1781816724
Nov,2012,250,RSS3_OPEN_PREV,3.0378862572
Dec,2012,252,RSS3_OPEN_PREV,3.0565923126
Jan,2013,256,RSS3_OPEN_PREV,3.0940044233
Feb,2013,248.5,RSS3_OPEN_PREV,3.0238567157
Mar,2013,215,RSS3_OPEN_PREV,2.7105302886
Apr,2013,220.5,RSS3_OPEN_PREV,2.7619719409
May,2013,233,RSS3_OPEN_PREV,2.8788847868
Jun,2013,211.8,RSS3_OPEN_PREV,2.6806006001
Jul,2013,198,RSS3_OPEN_PREV,2.5515288182
Aug,2013,205.3,RSS3_OPEN_PREV,2.6198059202
Sep,2013,197,RSS3_OPEN_PREV,2.5421757905
Oct,2013,178,RSS3_OPEN_PREV,2.3644682647
Nov,2013,153,RSS3_OPEN_PREV,2.1306425728
Dec,2013,167,RSS3_OPEN_PREV,2.2615849603
Jan,2014,151,RSS3_OPEN_PREV,2.1119365175
Feb,2014,170,RSS3_OPEN_PREV,2.2896440433
Mar,2014,171.5,RSS3_OPEN_PREV,2.3036735848
Apr,2014,183.5,RSS3_OPEN_PREV,2.4159099169
May,2014,171,RSS3_OPEN_PREV,2.298997071
Jun,2014,182,RSS3_OPEN_PREV,2.4018803754
Jul,2014,189,RSS3_OPEN_PREV,2.4673515691
Aug,2014,169,RSS3_OPEN_PREV,2.2802910156
Sep,2014,156,RSS3_OPEN_PREV,2.1587016559
Oct,2014,134.8,RSS3_OPEN_PREV,1.9604174692
Nov,2014,133,RSS3_OPEN_PREV,1.9435820194
Dec,2014,124,RSS3_OPEN_PREV,1.8594047703
Jan,2015,125,RSS3_OPEN_PREV,1.868757798
Feb,2015,116,RSS3_OPEN_PREV,1.7845805489
Mar,2015,124.1,RSS3_OPEN_PREV,1.8603400731
Apr,2015,130.5,RSS3_OPEN_PREV,1.9201994502
May,2015,154,RSS3_OPEN_PREV,2.1399956005
Jun,2015,180.4,RSS3_OPEN_PREV,2.3869155311
Jul,2015,151,RSS3_OPEN_PREV,2.1119365175
Aug,2015,161,RSS3_OPEN_PREV,2.2054667942
Sep,2015,172,RSS3_OPEN_PREV,2.3083500987
Oct,2015,154,RSS3_OPEN_PREV,2.1399956005
Nov,2015,160,RSS3_OPEN_PREV,2.1961137666
Dec,2015,174,RSS3_OPEN_PREV,2.327056154
Jan,2016,200,RSS3_OPEN_PREV,2.5702348735
Feb,2016,225.1,RSS3_OPEN_PREV,2.8049958682
Mar,2016,285,RSS3_OPEN_PREV,3.3652422258
Apr,2016,239.1,RSS3_OPEN_PREV,2.9359382556
May,2016,229,RSS3_OPEN_PREV,2.8414726761
Jun,2016,221.5,RSS3_OPEN_PREV,2.7713249685
Jul,2016,193.8,RSS3_OPEN_PREV,2.512246102
Aug,2016,176,RSS3_OPEN_PREV,2.3457622094
Sep,2016,175,RSS3_OPEN_PREV,2.3364091817
Oct,2016,189.5,RSS3_OPEN_PREV,2.472028083
Nov,2016,170.5,RSS3_OPEN_PREV,2.2943205571
Dec,2016,153.6,RSS3_OPEN_PREV,2.1362543894
Jan,2017,157.6,RSS3_OPEN_PREV,2.1736665001
Feb,2017,165.5,RSS3_OPEN_PREV,2.2475554188
Mar,2017,169,RSS3_OPEN_PREV,2.2802910156
Apr,2017,176.9,RSS3_OPEN_PREV,2.3541799343
May,2017,174,RSS3_OPEN_PREV,2.327056154
Jun,2017,173,RSS3_OPEN_PREV,2.3177031263
Jul,2017,163.1,RSS3_OPEN_PREV,2.2251081524
Aug,2017,148,RSS3_OPEN_PREV,2.0838774345
Sep,2017,144.5,RSS3_OPEN_PREV,2.0511418376
Oct,2017,145,RSS3_OPEN_PREV,2.0558183515
Nov,2017,144.5,RSS3_OPEN_PREV,2.0511418376
Dec,2017,139.5,RSS3_OPEN_PREV,2.0043766992
Jan,2018,136.5,RSS3_OPEN_PREV,1.9763176162
Feb,2018,149.5,RSS3_OPEN_PREV,2.097906976
Mar,2018,157,RSS3_OPEN_PREV,2.1680546835
Apr,2018,174.5,RSS3_OPEN_PREV,2.3317326678
May,2018,165.5,RSS3_OPEN_PREV,2.2475554188
Jun,2018,177.2,RSS3_OPEN_PREV,2.3569858426
Jul,2018,185.8,RSS3_OPEN_PREV,2.4374218806
Aug,2018,194,RSS3_OPEN_PREV,2.5141167075
Sep,2018,158,RSS3_OPEN_PREV,2.1774077112
Oct,2018,149,RSS3_OPEN_PREV,2.0932304621
Nov,2018,142.5,RSS3_OPEN_PREV,2.0324357823
Dec,2018,146,RSS3_OPEN_PREV,2.0651713791
Jan,2007,259,RSS3_HIGH_PREV,2.9897750754
Feb,2007,267.25,RSS3_HIGH_PREV,3.0629290078
Mar,2007,286.5,RSS3_HIGH_PREV,3.2336215169
Apr,2007,288.5,RSS3_HIGH_PREV,3.2513558035
May,2007,290,RSS3_HIGH_PREV,3.2646565185
Jun,2007,326,RSS3_HIGH_PREV,3.5838736783
Jul,2007,332,RSS3_HIGH_PREV,3.6370765383
Aug,2007,330,RSS3_HIGH_PREV,3.6193422516
Sep,2007,309.5,RSS3_HIGH_PREV,3.4375658134
Oct,2007,295,RSS3_HIGH_PREV,3.3089922351
Nov,2007,241,RSS3_HIGH_PREV,2.8301664955
Dec,2007,192,RSS3_HIGH_PREV,2.3956764724
Jan,2008,138,RSS3_HIGH_PREV,1.9168507327
Feb,2008,153.5,RSS3_HIGH_PREV,2.0542914543
Mar,2008,151.1,RSS3_HIGH_PREV,2.0330103103
Apr,2008,153,RSS3_HIGH_PREV,2.0498578826
May,2008,171.5,RSS3_HIGH_PREV,2.2139000342
Jun,2008,174,RSS3_HIGH_PREV,2.2360678925
Jul,2008,176,RSS3_HIGH_PREV,2.2538021792
Aug,2008,198,RSS3_HIGH_PREV,2.4488793324
Sep,2008,215,RSS3_HIGH_PREV,2.5996207689
Oct,2008,224,RSS3_HIGH_PREV,2.6794250589
Nov,2008,248,RSS3_HIGH_PREV,2.8922364987
Dec,2008,273.5,RSS3_HIGH_PREV,3.1183486536
Jan,2009,288.5,RSS3_HIGH_PREV,3.2513558035
Feb,2009,322,RSS3_HIGH_PREV,3.548405105
Mar,2009,333,RSS3_HIGH_PREV,3.6459436816
Apr,2009,365,RSS3_HIGH_PREV,3.9296922681
May,2009,411.5,RSS3_HIGH_PREV,4.3420144328
Jun,2009,392,RSS3_HIGH_PREV,4.1691051379
Jul,2009,375,RSS3_HIGH_PREV,4.0183637013
Aug,2009,344.5,RSS3_HIGH_PREV,3.7479158299
Sep,2009,345.9,RSS3_HIGH_PREV,3.7603298305
Oct,2009,363,RSS3_HIGH_PREV,3.9119579814
Nov,2009,404.5,RSS3_HIGH_PREV,4.2799444295
Dec,2009,448.9,RSS3_HIGH_PREV,4.6736455932
Jan,2010,501,RSS3_HIGH_PREV,5.1356237606
Feb,2010,588,RSS3_HIGH_PREV,5.9070652301
Mar,2010,648.8,RSS3_HIGH_PREV,6.4461875444
Apr,2010,604.5,RSS3_HIGH_PREV,6.053373095
May,2010,615,RSS3_HIGH_PREV,6.1464781
Jun,2010,525,RSS3_HIGH_PREV,5.3484352005
Jul,2010,522,RSS3_HIGH_PREV,5.3218337705
Aug,2010,486,RSS3_HIGH_PREV,5.0026166107
Sep,2010,487.4,RSS3_HIGH_PREV,5.0150306114
Oct,2010,473,RSS3_HIGH_PREV,4.8873437474
Nov,2010,426.9,RSS3_HIGH_PREV,4.47856844
Dec,2010,380,RSS3_HIGH_PREV,4.062699418
Jan,2011,356,RSS3_HIGH_PREV,3.8498879781
Feb,2011,410,RSS3_HIGH_PREV,4.3287137178
Mar,2011,410,RSS3_HIGH_PREV,4.3287137178
Apr,2011,404,RSS3_HIGH_PREV,4.2755108578
May,2011,390,RSS3_HIGH_PREV,4.1513708513
Jun,2011,394.5,RSS3_HIGH_PREV,4.1912729962
Jul,2011,350.9,RSS3_HIGH_PREV,3.8046655472
Aug,2011,321.5,RSS3_HIGH_PREV,3.5439715333
Sep,2011,303,RSS3_HIGH_PREV,3.3799293818
Oct,2011,328,RSS3_HIGH_PREV,3.601607965
Nov,2011,340,RSS3_HIGH_PREV,3.7080136849
Dec,2011,303,RSS3_HIGH_PREV,3.3799293818
Jan,2012,326,RSS3_HIGH_PREV,3.5838736783
Feb,2012,335.5,RSS3_HIGH_PREV,3.6681115399
Mar,2012,336.5,RSS3_HIGH_PREV,3.6769786832
Apr,2012,309.5,RSS3_HIGH_PREV,3.4375658134
May,2012,297,RSS3_HIGH_PREV,3.3267265218
Jun,2012,323.5,RSS3_HIGH_PREV,3.56170582
Jul,2012,293,RSS3_HIGH_PREV,3.2912579485
Aug,2012,267,RSS3_HIGH_PREV,3.060712222
Sep,2012,267,RSS3_HIGH_PREV,3.060712222
Oct,2012,270,RSS3_HIGH_PREV,3.087313652
Nov,2012,261,RSS3_HIGH_PREV,3.007509362
Dec,2012,252.5,RSS3_HIGH_PREV,2.9321386437
Jan,2013,262,RSS3_HIGH_PREV,3.0163765053
Feb,2013,248.5,RSS3_HIGH_PREV,2.8966700704
Mar,2013,223.5,RSS3_HIGH_PREV,2.6749914872
Apr,2013,237,RSS3_HIGH_PREV,2.7946979221
May,2013,233,RSS3_HIGH_PREV,2.7592293488
Jun,2013,213,RSS3_HIGH_PREV,2.5818864823
Jul,2013,218,RSS3_HIGH_PREV,2.6262221989
Aug,2013,209,RSS3_HIGH_PREV,2.546417909
Sep,2013,199,RSS3_HIGH_PREV,2.4577464757
Oct,2013,179.8,RSS3_HIGH_PREV,2.2874973238
Nov,2013,174,RSS3_HIGH_PREV,2.2360678925
Dec,2013,168.5,RSS3_HIGH_PREV,2.1872986042
Jan,2014,170,RSS3_HIGH_PREV,2.2005993192
Feb,2014,170.5,RSS3_HIGH_PREV,2.2050328909
Mar,2014,187.4,RSS3_HIGH_PREV,2.3548876131
Apr,2014,183.5,RSS3_HIGH_PREV,2.3203057541
May,2014,179,RSS3_HIGH_PREV,2.2804036091
Jun,2014,190,RSS3_HIGH_PREV,2.3779421858
Jul,2014,190.5,RSS3_HIGH_PREV,2.3823757574
Aug,2014,170,RSS3_HIGH_PREV,2.2005993192
Sep,2014,156,RSS3_HIGH_PREV,2.0764593126
Oct,2014,136,RSS3_HIGH_PREV,1.8991164461
Nov,2014,135.1,RSS3_HIGH_PREV,1.8911360171
Dec,2014,130,RSS3_HIGH_PREV,1.8459135861
Jan,2015,130,RSS3_HIGH_PREV,1.8459135861
Feb,2015,135,RSS3_HIGH_PREV,1.8902493027
Mar,2015,129,RSS3_HIGH_PREV,1.8370464428
Apr,2015,153,RSS3_HIGH_PREV,2.0498578826
May,2015,185,RSS3_HIGH_PREV,2.3336064691
Jun,2015,183,RSS3_HIGH_PREV,2.3158721825
Jul,2015,182,RSS3_HIGH_PREV,2.3070050391
Aug,2015,199,RSS3_HIGH_PREV,2.4577464757
Sep,2015,176,RSS3_HIGH_PREV,2.2538021792
