"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 18","2,380","2,550","2,743","2,150","774.78K","-7.07%"
"Nov 18","2,561","2,335","2,566","2,335","703.63K","9.68%"
"Oct 18","2,335","2,544","2,575","2,261","1.05M","-6.38%"
"Sep 18","2,494","2,281","2,569","2,252","656.84K","9.39%"
"Aug 18","2,280","2,101","2,367","2,048","931.74K","8.57%"
"Jul 18","2,100","2,144","2,241","1,999","1.06M","-2.01%"
"Jun 18","2,143","2,300","2,484","2,096","1.39M","-6.79%"
"May 18","2,299","2,264","2,338","2,101","544.93K","1.46%"
"Apr 18","2,266","2,277","2,401","2,181","384.42K","-0.40%"
"Mar 18","2,275","2,313","2,400","2,175","498.42K","-1.73%"
"Feb 18","2,315","2,352","2,425","1,961","885.52K","0.70%"
"Jan 18","2,299","2,470","2,575","2,180","1.25M","-6.66%"
"Dec 17","2,463","2,145","2,499","2,020","1.33M","14.83%"
"Nov 17","2,145","2,084","2,270","1,904","997.85K","4.79%"
"Oct 17","2,047","2,149","2,149","1,881","1.12M","-1.87%"
"Sep 17","2,086","2,420","2,509","2,038","526.31K","-13.80%"
"Aug 17","2,420","2,423","2,580","2,281","1.80M","-0.04%"
"Jul 17","2,421","2,777","2,944","2,336","1.33M","-12.57%"
"Jun 17","2,769","3,009","3,044","2,584","1.43M","-7.70%"
"May 17","3,000","2,943","3,057","2,810","1.13M","2.25%"
"Apr 17","2,934","2,553","2,985","2,542","1.06M","15.01%"
"Mar 17","2,551","2,585","2,766","2,485","1.28M","-1.32%"
"Feb 17","2,585","2,510","2,695","2,452","2.90M","2.99%"
"Jan 17","2,510","2,491","2,641","2,335","1.49M","1.05%"
"Dec 16","2,484","2,216","2,540","2,190","649.89K","12.45%"
"Nov 16","2,209","2,080","2,267","2,000","509.41K","6.05%"
"Oct 16","2,083","2,280","2,280","2,067","227.33K","-1.47%"
"Sep 16","2,114","2,267","2,281","2,015","649.55K","-6.75%"
"Aug 16","2,267","2,355","2,469","2,150","646.58K","-3.70%"
"Jul 16","2,354","1,892","2,390","1,892","676.64K","24.48%"
"Jun 16","1,891","1,909","1,919","1,689","812.33K","-0.94%"
"May 16","1,909","1,933","1,944","1,749","407.00K","-0.21%"
