"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 19","145.10","139.00","153.10","139.00","24.27K","4.77%"
"Nov 19","138.50","133.20","143.50","132.40","18.20K","5.00%"
"Oct 19","131.90","127.80","134.70","124.00","15.73K","3.13%"
"Sep 19","127.90","130.20","136.00","124.70","13.90K","-0.47%"
"Aug 19","128.50","135.50","135.90","126.50","16.73K","-4.46%"
"Jul 19","134.50","146.90","148.20","133.00","13.91K","-10.21%"
"Jun 19","149.80","150.60","168.20","144.00","14.64K","-4.59%"
"May 19","157.00","153.40","157.00","145.10","12.59K","3.90%"
"Apr 19","151.10","143.70","155.90","143.30","16.88K","5.66%"
"Mar 19","143.00","146.00","151.70","142.50","18.50K","0.00%"
"Feb 19","143.00","132.30","148.70","129.70","16.82K","10.25%"
"Jan 19","129.70","129.50","143.90","127.90","21.25K","3.93%"
"Dec 18","124.80","124.80","128.50","122.00","22.23K","1.96%"
"Nov 18","122.40","126.10","126.40","119.20","23.12K","-1.69%"
"Oct 18","124.50","134.60","135.50","121.00","22.17K","-7.23%"
"Sep 18","134.20","132.70","135.30","130.30","21.04K","1.67%"
"Aug 18","132.00","130.90","140.60","125.00","22.82K","1.46%"
"Jul 18","130.10","135.00","135.00","128.00","20.61K","-5.11%"
"Jun 18","137.10","140.90","144.00","131.60","20.46K","-3.99%"
"May 18","142.80","139.00","147.90","138.50","16.41K","0.92%"
"Apr 18","141.50","136.90","147.50","133.10","16.06K","5.83%"
"Mar 18","133.70","148.50","150.70","123.00","15.89K","-11.28%"
"Feb 18","150.70","149.70","152.00","141.00","12.04K","2.52%"
"Jan 18","147.00","142.90","154.40","142.90","12.70K","0.07%"
"Dec 17","146.90","142.30","150.20","140.20","12.63K","1.10%"
"Nov 17","145.30","141.30","147.70","136.00","16.37K","8.11%"
"Oct 17","134.40","146.10","150.70","132.50","11.28K","-8.07%"
"Sep 17","146.20","162.00","172.40","137.30","13.34K","-5.98%"
"Aug 17","155.50","148.10","158.00","144.50","12.78K","9.20%"
"Jul 17","142.40","154.00","162.00","140.00","8.45K","-5.19%"
"Jun 17","150.20","145.80","151.80","133.40","5.96K","-1.44%"
"May 17","152.40","159.80","161.30","145.00","6.82K","-5.93%"
"Apr 17","162.00","184.80","185.90","147.30","4.50K","-15.54%"
"Mar 17","191.80","207.30","216.00","173.50","9.43K","-7.70%"
"Feb 17","207.80","230.40","241.00","202.80","10.84K","-8.66%"
"Jan 17","227.50","204.30","228.60","191.50","7.53K","17.57%"
"Dec 16","193.50","180.00","220.80","167.10","10.80K","15.18%"
"Nov 16","168.00","148.00","181.00","145.00","10.16K","12.53%"
"Oct 16","149.30","135.10","154.20","134.90","14.43K","7.33%"
"Sep 16","139.10","127.50","144.90","127.40","10.94K","9.44%"
"Aug 16","127.10","128.40","134.80","124.50","9.59K","-2.08%"
"Jul 16","129.80","139.00","139.00","124.00","7.95K","-4.49%"
"Jun 16","135.90","125.20","136.00","121.00","5.04K","7.86%"
"May 16","126.00","148.40","149.50","122.00","6.49K","-15.15%"
"Apr 16","148.50","132.50","159.80","130.80","6.29K","11.91%"
"Mar 16","132.70","113.20","138.80","112.50","6.45K","18.48%"
"Feb 16","112.00","109.70","112.10","103.90","7.57K","4.28%"
"Jan 16","107.40","113.00","114.00","102.80","9.53K","-8.83%"
"Dec 15","117.80","114.60","120.00","113.20","7.19K","1.90%"
"Nov 15","115.60","118.20","123.50","112.50","7.64K","-4.23%"
"Oct 15","120.70","121.50","128.50","118.00","9.02K","-2.66%"
"Sep 15","124.00","125.70","128.00","120.00","5.37K","-2.21%"
"Aug 15","126.80","138.50","139.00","123.50","7.19K","-9.43%"
"Jul 15","140.00","150.50","152.50","137.50","6.84K","-7.10%"
"Jun 15","150.70","165.40","165.40","145.00","6.21K","-9.00%"
"May 15","165.60","147.40","166.00","147.40","11.05K","12.04%"
"Apr 15","147.80","138.00","150.00","135.00","8.59K","1.93%"
"Mar 15","145.00","144.50","145.00","139.00","7.06K","-0.55%"
"Feb 15","145.80","138.20","146.00","135.00","7.06K","5.12%"
"Jan 15","138.70","153.50","153.80","135.00","7.21K","-8.87%"
"Dec 14","152.20","149.10","155.50","138.00","6.12K","0.33%"
"Nov 14","151.70","153.90","156.80","145.00","5.49K","-3.99%"
"Oct 14","158.00","143.60","163.00","137.40","7.12K","6.76%"
"Sep 14","148.00","163.00","163.70","142.90","8.14K","-7.50%"
"Aug 14","160.00","170.00","177.00","159.00","5.32K","-6.65%"
"Jul 14","171.40","174.00","175.00","165.00","5.05K","-3.27%"
"Jun 14","177.20","165.20","179.90","164.10","4.84K","4.54%"
"May 14","169.50","173.40","173.40","164.00","4.73K","-3.69%"
"Apr 14","176.00","190.00","190.80","160.20","4.68K","-7.37%"
"Mar 14","190.00","185.00","202.50","181.00","5.59K","3.83%"
"Feb 14","183.00","189.90","200.00","175.50","4.88K","-2.97%"
"Jan 14","188.60","226.50","227.50","188.00","5.65K","-16.73%"
"Dec 13","226.50","232.70","236.50","226.00","4.75K","-3.00%"
"Nov 13","233.50","224.00","234.50","224.00","5.10K","2.82%"
"Oct 13","227.10","232.00","241.20","224.80","6.59K","-1.52%"
"Sep 13","230.60","241.50","252.40","225.00","7.94K","-4.99%"
"Aug 13","242.70","224.00","248.00","221.80","5.53K","7.63%"
"Jul 13","225.50","221.00","235.90","212.70","5.68K","1.12%"
"Jun 13","223.00","236.60","245.40","217.00","6.52K","-6.54%"
"May 13","238.60","239.50","268.00","233.00","6.19K","-3.01%"
"Apr 13","246.00","271.00","271.00","229.00","5.91K","-7.87%"
"Mar 13","267.00","290.00","292.00","265.00","4.74K","-7.93%"
"Feb 13","290.00","305.20","314.00","288.00","3.68K","-4.86%"
"Jan 13","304.80","303.00","310.50","297.50","4.35K","2.01%"
"Dec 12","298.80","284.50","303.00","282.00","4.47K","5.62%"
"Nov 12","282.90","287.20","287.80","272.80","4.61K","0.64%"
"Oct 12","281.10","292.00","312.50","276.00","7.31K","-3.73%"
"Sep 12","292.00","256.00","293.00","251.80","5.78K","15.19%"
"Aug 12","253.50","276.00","281.40","239.50","5.89K","-8.09%"
"Jul 12","275.80","290.00","299.00","275.00","3.76K","-1.15%"
"Jun 12","279.00","310.50","315.00","273.00","4.49K","-11.32%"
"May 12","314.60","370.00","371.00","312.50","4.02K","-14.16%"
"Apr 12","366.50","376.00","377.50","357.50","3.29K","-2.53%"
"Mar 12","376.00","381.00","393.00","372.00","4.29K","-1.05%"
"Feb 12","380.00","377.00","386.00","366.00","4.82K","1.06%"
"Jan 12","376.00","324.40","385.00","322.00","5.57K","14.98%"
"Dec 11","327.00","336.00","347.00","322.00","4.18K","2.51%"
"Nov 11","319.00","380.00","387.00","308.00","5.45K","-17.57%"
"Oct 11","387.00","411.50","432.00","376.00","5.25K","-8.94%"
"Sep 11","425.00","472.00","473.00","396.00","3.54K","-10.94%"
"Aug 11","477.20","473.00","479.00","445.00","4.26K","1.21%"
"Jul 11","471.50","436.10","476.00","436.10","2.95K","8.14%"
"Jun 11","436.00","470.00","470.00","421.00","1.91K","-7.14%"
"May 11","469.50","458.00","469.50","432.00","4.01K","2.74%"
"Apr 11","457.00","507.00","532.90","450.00","3.04K","-9.86%"
"Mar 11","507.00","520.00","524.60","380.00","3.39K","-1.93%"
"Feb 11","517.00","545.00","575.00","517.00","2.82K","-4.26%"
"Jan 11","540.00","502.00","557.90","500.00","2.77K","8.00%"
"Dec 10","500.00","420.10","500.00","420.10","3.37K","15.71%"
"Nov 10","432.10","390.00","445.00","390.00","4.17K","9.95%"
"Oct 10","393.00","352.00","401.50","352.00","5.04K","11.81%"
"Sep 10","351.50","324.50","351.50","324.50","3.87K","8.49%"
"Aug 10","324.00","305.00","333.00","304.50","4.45K","6.93%"
"Jul 10","303.00","288.00","303.00","284.70","4.21K","3.41%"
"Jun 10","293.00","301.50","301.50","279.40","2.72K","-4.87%"
"May 10","308.00","300.50","308.00","271.50","2.62K","-0.65%"
"Apr 10","310.00","327.00","340.50","309.80","2.66K","-5.49%"
"Mar 10","328.00","320.00","328.00","309.00","1.73K","2.50%"
"Feb 10","320.00","290.00","325.00","290.00","3.02K","6.67%"
"Jan 10","300.00","289.50","314.00","288.50","3.26K","3.63%"
"Dec 09","289.50","268.90","289.50","264.50","2.49K","8.75%"
"Nov 09","266.20","228.00","269.50","228.00","2.63K","12.56%"
"Oct 09","236.50","213.50","236.50","213.00","2.44K","12.09%"
"Sep 09","211.00","195.00","216.00","191.70","3.61K","7.93%"
"Aug 09","195.50","181.00","198.00","174.00","4.43K","15.95%"
"Jul 09","168.60","150.00","180.00","149.00","5.01K","10.92%"
"Jun 09","152.00","156.00","160.00","145.00","6.35K","-1.87%"
"May 09","154.90","150.00","162.50","148.70","4.66K","6.31%"
"Apr 09","145.70","138.50","159.00","137.80","5.19K","7.93%"
"Mar 09","135.00","125.50","138.90","118.50","5.44K","6.30%"
"Feb 09","127.00","130.20","135.20","123.00","5.72K","-4.51%"
"Jan 09","133.00","138.00","150.00","131.60","5.91K","-2.56%"
"Dec 08","136.50","128.00","136.70","99.00","5.30K","1.87%"
"Nov 08","134.00","181.50","189.00","132.00","3.20K","-24.51%"
"Oct 08","177.50","240.00","240.00","151.00","3.66K","-30.93%"
"Sep 08","257.00","294.50","294.75","250.50","9.02K","-13.47%"
"Aug 08","297.00","311.50","313.50","277.00","10.09K","-6.31%"
"Jul 08","317.00","326.00","328.00","314.00","8.29K","-3.28%"
"Jun 08","327.75","297.00","329.75","297.00","9.23K","9.98%"
"May 08","298.00","277.25","319.75","273.25","6.04K","7.58%"
"Apr 08","277.00","268.75","277.00","264.50","6.55K","2.59%"
"Mar 08","270.00","275.25","276.50","262.00","6.49K","-0.55%"
"Feb 08","271.50","265.00","282.00","258.00","25.38K","4.42%"
"Jan 08","260.00","248.75","260.00","246.50","5.10K","3.90%"
"Dec 07","250.25","234.75","250.50","225.50","4.09K","6.15%"
"Nov 07","235.75","235.50","248.00","230.00","16.76K","0.96%"
"Oct 07","233.50","215.00","236.00","215.00","17.00K","7.85%"
"Sep 07","216.50","209.25","217.50","205.50","4.92K","3.59%"
"Aug 07","209.00","211.25","214.75","201.25","26.84K","-2.68%"
"Jul 07","214.75","199.50","215.50","194.00","21.20K","5.79%"
"Jun 07","203.00","219.50","221.00","202.25","3.68K","-9.48%"
"May 07","224.25","212.25","229.00","211.25","26.36K","3.58%"
"Apr 07","216.50","211.50","217.00","207.00","25.74K","3.84%"
"Mar 07","208.50","204.75","211.00","198.75","4.76K","1.71%"
"Feb 07","205.00","208.75","218.25","202.00","41.04K","0.49%"
"Jan 07","204.00","184.50","204.25","176.75","42.10K","10.72%"
