"Date","Price","Open","High","Low","Change %"
"Jan 15, 2020","13,665.0","13,685.0","13,730.0","13,665.0","-0.04%"
"Jan 14, 2020","13,670.0","13,655.0","13,693.0","13,635.0","0.01%"
"Jan 13, 2020","13,668.0","13,733.0","13,743.0","13,668.0","-0.69%"
"Jan 10, 2020","13,762.5","13,857.5","13,860.5","13,747.5","-0.63%"
"Jan 09, 2020","13,850.0","13,855.0","13,870.0","13,835.0","-0.31%"
"Jan 08, 2020","13,892.5","13,907.5","13,942.5","13,892.5","0.13%"
"Jan 07, 2020","13,875.0","13,935.0","13,935.0","13,875.0","-0.47%"
"Jan 06, 2020","13,940.0","13,925.0","13,970.0","13,925.0","0.11%"
"Jan 03, 2020","13,925.0","13,880.0","13,935.0","13,880.0","0.26%"
"Jan 02, 2020","13,889.0","13,870.0","13,905.0","13,870.0","0.05%"
"Jan 01, 2020","13,882.5","13,882.5","13,882.5","13,882.5","0.00%"
"Dec 31, 2019","13,882.5","13,922.5","13,922.5","13,862.5","-0.30%"
"Dec 30, 2019","13,924.5","13,949.5","13,949.5","13,914.5","-0.18%"
"Dec 27, 2019","13,950.0","13,955.0","13,962.0","13,947.0","-0.04%"
"Dec 26, 2019","13,955.0","13,970.0","13,980.0","13,955.0","-0.09%"
"Dec 25, 2019","13,967.5","13,967.5","13,967.5","13,967.5","0.00%"
"Dec 24, 2019","13,967.5","13,967.5","13,967.5","13,967.5","0.00%"
"Dec 23, 2019","13,967.5","13,957.5","13,992.5","13,957.5","-0.07%"
"Dec 20, 2019","13,977.5","13,982.5","14,003.5","13,977.5","-0.05%"
"Dec 19, 2019","13,985.0","13,975.0","14,000.0","13,975.0","0.07%"
"Dec 18, 2019","13,975.0","13,995.0","14,010.0","13,975.0","-0.11%"
"Dec 17, 2019","13,990.0","13,995.0","14,019.0","13,990.0","-0.11%"
"Dec 16, 2019","14,005.0","13,995.0","14,020.0","13,995.0","0.14%"
