Date,Price,Open,High,Low,Change %
Jan  2006,"9,370.00","9,830.00","9,840.00","9,310.00",-4.68%
Feb  2006,"9,182.50","9,375.50","9,375.50","9,175.50",-2.00%
Mar  2006,"9,087.00","9,165.00","9,410.00","9,010.00",-1.04%
Apr  2006,"8,785.00","9,085.00","9,093.00","8,770.00",-3.32%
May  2006,"9,255.00","8,790.00","9,430.00","8,695.00",5.35%
Jun  2006,"9,263.00","9,286.00","9,561.00","9,234.00",0.09%
Jul  2006,"9,095.00","9,190.00","9,311.00","9,010.00",-1.81%
Aug  2006,"9,117.00","9,082.00","9,177.00","9,050.00",0.24%
Sep  2006,"9,205.00","9,105.00","9,265.00","9,075.00",0.97%
Oct  2006,"9,094.00","9,220.00","9,252.00","9,085.00",-1.21%
Nov  2006,"9,165.00","9,090.00","9,225.00","9,075.00",0.78%
Dec  2006,"8,993.50","9,157.50","9,195.50","8,982.50",-1.87%
Jan  2007,"9,100.00","8,980.00","9,181.00","8,935.00",1.18%
Feb  2007,"9,131.50","9,073.50","9,198.50","9,033.50",0.35%
Mar  2007,"9,120.00","9,145.00","9,265.00","9,075.00",-0.13%
Apr  2007,"9,088.00","9,115.00","9,131.00","9,064.00",-0.35%
May  2007,"8,827.00","9,085.00","9,102.00","8,645.00",-2.87%
Jun  2007,"9,035.00","8,835.00","9,150.00","8,760.00",2.36%
Jul  2007,"9,225.00","9,015.00","9,259.00","8,989.00",2.10%
Aug  2007,"9,390.00","9,235.00","9,487.00","9,230.00",1.79%
Sep  2007,"9,145.00","9,392.00","9,452.00","9,115.00",-2.61%
Oct  2007,"9,097.50","9,112.50","9,197.50","9,037.50",-0.52%
Nov  2007,"9,370.00","9,090.00","9,427.00","9,070.00",3.00%
Dec  2007,"9,392.50","9,375.50","9,453.50","9,232.50",0.24%
Jan  2008,"9,246.50","9,387.50","9,501.50","9,241.50",-1.55%
Feb  2008,"9,065.00","9,235.00","9,290.00","9,042.00",-1.96%
Mar  2008,"9,215.00","9,080.00","9,345.00","9,060.00",1.65%
Apr  2008,"9,222.00","9,205.00","9,250.00","9,150.00",0.08%
May  2008,"9,315.00","9,230.00","9,385.00","9,209.00",1.01%
Jun  2008,"9,220.00","9,310.00","9,360.00","9,195.00",-1.02%
Jul  2008,"9,095.00","9,225.00","9,235.00","9,085.00",-1.36%
Aug  2008,"9,150.00","9,090.00","9,225.00","9,062.00",0.60%
Sep  2008,"9,415.00","9,155.00","9,475.00","9,155.00",2.90%
Oct  2008,"10,900.00","9,530.00","11,950.00","9,530.00",15.77%
Nov  2008,"12,025.00","10,775.00","12,675.00","10,725.00",10.32%
Dec  2008,"10,900.00","12,150.00","12,350.00","10,800.00",-9.36%
Jan  2009,"11,380.00","10,960.00","11,385.00","10,710.00",4.40%
Feb  2009,"11,980.00","11,655.00","12,030.00","11,555.00",5.27%
Mar  2009,"11,555.00","12,015.00","12,170.00","11,360.00",-3.55%
Apr  2009,"10,585.00","11,560.00","11,615.00","10,565.00",-8.39%
May  2009,"10,290.00","10,590.00","10,665.00","10,230.00",-2.79%
Jun  2009,"10,207.50","10,242.50","10,477.50","9,907.50",-0.80%
Jul  2009,"9,925.00","10,225.00","10,260.00","9,900.00",-2.77%
Aug  2009,"10,080.00","9,905.00","10,105.00","9,840.00",1.56%
Sep  2009,"9,645.00","10,105.00","10,175.00","9,565.00",-4.32%
Oct  2009,"9,550.00","9,610.00","9,710.00","9,260.00",-0.98%
Nov  2009,"9,455.00","9,670.00","9,670.00","9,310.00",-0.99%
Dec  2009,"9,425.00","9,480.00","9,520.00","9,385.00",-0.32%
Jan  2010,"9,350.00","9,396.00","9,455.00","9,115.00",-0.80%
Feb  2010,"9,337.00","9,360.00","9,497.00","9,200.00",-0.14%
Mar  2010,"9,090.00","9,305.00","9,375.00","9,006.00",-2.65%
Apr  2010,"9,012.50","9,085.50","9,144.50","8,901.50",-0.85%
May  2010,"9,175.00","9,030.00","9,385.00","9,015.00",1.80%
Jun  2010,"9,060.00","9,205.00","9,300.00","9,000.00",-1.25%
Jul  2010,"8,940.00","9,080.00","9,104.00","8,938.00",-1.32%
