Month;export;working_days;ramadan_days;temperature;rainfall;;;24.6785714286;2.4166666667;27.0481217002;;;
Jan  2007;194521581;24;0;25.9908;288.452;;;1.5136956741;6.5161399494;1.8641210945;2.5517121174;2.6291260339;2.432804176
Feb  2007;182777386;23;0;26.0761;308.659;;;;;;1.8910773431;2.6291260339;2.4785630059
Mar  2007;195785072;25;0;26.2171;306.465;;;;;;3.2123468917;2.6291260339;2.5542018688
Apr  2007;201383861;24;0;26.4058;313.486;;;;;;2.5517121174;2.6291260339;2.6554291982
May  2007;210766103;25;0;26.6741;283.009;;;;;;3.2123468917;2.6291260339;2.7993576161
Jun  2007;198596606;25;0;26.1211;261.098;;;;;;3.2123468917;2.6291260339;2.5027030685
Jul  2007;212127415;26;0;25.7758;224.628;;;;;;3.872981666;2.6291260339;2.3174683212
Aug  2007;207446303;25;0;25.8261;170.521;;;;;;3.2123468917;2.6291260339;2.3444515467
Sep  2007;182701709;25;16;25.9217;155.903;;;;;;3.2123468917;5.0845674646;2.3957357687
Oct  2007;195531320;23;13;26.4872;190.176;;;;;;1.8910773431;4.6241721963;2.6990958893
Nov  2007;208315623;26;0;26.1071;234.961;;;;;;3.872981666;2.6291260339;2.4951928268
Dec  2007;222128007;22;0;26.0463;305.377;;;;;;1.2304425688;2.6291260339;2.46257692
Jan  2008;182206427;24;0;26.033;232.708;;;;;;2.5517121174;2.6291260339;2.4554421903
Feb  2008;227685782;23;0;25.7606;272.648;;;;;;1.8910773431;2.6291260339;2.3093143444
Mar  2008;207284787;23;0;25.6627;348.689;;;;;;1.8910773431;2.6291260339;2.256796297
Apr  2008;199419031;26;0;25.9887;286.544;;;;;;3.872981666;2.6291260339;2.4316776398
May  2008;210321196;23;0;26.2862;192.362;;;;;;1.8910773431;2.6291260339;2.5912702761
Jun  2008;200164981;25;0;25.8421;248.741;;;;;;3.2123468917;2.6291260339;2.3530346801
Jul  2008;213347267;26;0;25.4451;199.079;;;;;;3.872981666;2.6291260339;2.140065683
Aug  2008;198702878;25;0;25.8118;205.936;;;;;;3.2123468917;2.6291260339;2.3367803713
Sep  2008;217833783;24;27;26.0801;204.822;;;;;;2.5517121174;6.7726834482;2.4807087892
Oct  2008;168192342;25;2;26.4797;287.949;;;;;;3.2123468917;2.9360562127;2.6950725455
Nov  2008;144380317;25;0;26.4117;325.851;;;;;;3.2123468917;2.6291260339;2.6585942286
Dec  2008;131544928;24;0;26.2618;343.974;;;;;;2.5517121174;2.6291260339;2.5781809977
Jan  2009;118218832;25;0;25.7772;321.807;;;;;;3.2123468917;2.6291260339;2.3182193453
Feb  2009;137644053;24;0;25.7817;279.158;;;;;;2.5517121174;2.6291260339;2.3206333516
Mar  2009;184756856;24;0;25.958;365.026;;;;;;2.5517121174;2.6291260339;2.4152087526
Apr  2009;173320944;25;0;26.7217;304.531;;;;;;3.2123468917;2.6291260339;2.824892438
May  2009;185642695;24;0;26.5502;193.785;;;;;;2.5517121174;2.6291260339;2.732891977
Jun  2009;166208832;26;0;26.3983;158.746;;;;;;3.872981666;2.6291260339;2.6514058544
Jul  2009;196227244;26;0;26.1034;162.699;;;;;;3.872981666;2.6291260339;2.4932079772
Aug  2009;170162848;25;7;26.146;175.402;;;;;;3.2123468917;3.7033816598;2.5160605699
Sep  2009;159570528;23;22;26.596;149.12;;;;;;1.8910773431;6.0053580011;2.7574611963
Oct  2009;183182831;27;0;26.6273;213.317;;;;;;4.5336164404;2.6291260339;2.774251951
Nov  2009;149242856;24;0;26.6877;281.711;;;;;;2.5517121174;2.6291260339;2.8066532795
Dec  2009;172056609;24;0;26.4703;315.362;;;;;;2.5517121174;2.6291260339;2.6900299547
Jan  2010;138155840;25;0;26.0925;298.199;;;;;;3.2123468917;2.6291260339;2.4873607176
Feb  2010;174728908;22;0;26.6103;230.055;;;;;;1.2304425688;2.6291260339;2.7651323718
Mar  2010;208149734;26;0;26.6577;338.607;;;;;;3.872981666;2.6291260339;2.7905599044
Apr  2010;198667988;25;0;26.8081;341.031;;;;;;3.2123468917;2.6291260339;2.8712413582
May  2010;201391551;24;0;26.9744;334.754;;;;;;2.5517121174;2.6291260339;2.9604523009
Jun  2010;205878229;26;0;26.4764;275.414;;;;;;3.872981666;2.6291260339;2.6933022743
Jul  2010;220804938;26;0;25.9426;252.528;;;;;;3.872981666;2.6291260339;2.4069474867
Aug  2010;196959678;25;18;26.1792;260.979;;;;;;3.2123468917;5.3914976434;2.5338705716
Sep  2010;191824821;22;11;26.3379;374.936;;;;;;1.2304425688;4.3172420175;2.6190045259
Oct  2010;223889023;26;0;26.4788;290.075;;;;;;3.872981666;2.6291260339;2.6945897443
Nov  2010;199780702;25;0;26.424;302.522;;;;;;3.2123468917;2.6291260339;2.6651925124
Dec  2010;196777666;24;0;26.131;281.578;;;;;;2.5517121174;2.6291260339;2.5080138823
Jan  2011;207979224;25;0;25.8354;297.665;;;;;;3.2123468917;2.6291260339;2.349440493
Feb  2011;198234512;22;0;25.9172;261.001;;;;;;1.2304425688;2.6291260339;2.3933217625
Mar  2011;219981293;26;0;26.1868;305.038;;;;;;3.872981666;2.6291260339;2.53794756
Apr  2011;239859226;25;0;26.4147;301.848;;;;;;3.2123468917;2.6291260339;2.6602035661
May  2011;227264490;25;0;26.2142;265.651;;;;;;3.2123468917;2.6291260339;2.5526461759
Jun  2011;211630515;24;0;26.0326;240.676;;;;;;2.5517121174;2.6291260339;2.455227612
Jul  2011;239743109;26;0;25.9881;164.809;;;;;;3.872981666;2.6291260339;2.4313557723
Aug  2011;222604330;25;28;25.8631;156.305;;;;;;3.2123468917;6.9261485376;2.3643000427
Sep  2011;201711092;25;1;26.104;165.344;;;;;;3.2123468917;2.7825911233;2.4935298447
Oct  2011;238079553;26;0;26.3972;276.239;;;;;;3.872981666;2.6291260339;2.650815764
